"index","start_point","end_point","time"
"53","324","723","[178, 89, 209, 149, 120, 150, 477, 470, 1021, 90]"
"54","329","329","[0, 30, 60, 89, 80, 59, 90, 55, 6270, 150, 83, 71, 96, 120, 210, 45, 270, 36]"
"55","329","723","[58, 60, 119, 89, 30, 120, 416, 67, 1380]"
"56","723","723","[0, 60, 77, 59, 1, 89, 90, 120, 284, 470]"
"57","722","722","[0, 59, 74, 89, 120, 60, 30, 61, 57, 161, 55, 360, 511, 209, 1995, 1218]"
"58","722","722a","[60, 59, 76, 119, 61, 140, 166]"
"59","722","b10","[269, 258, 239, 209, 299, 210, 180]"
"60","722","b24","[460]"
"61","722","b39","[509]"
"62","722a","722a","[0]"
"63","722a","b10","[209, 386]"
"64","722a","b24","[400]"
"65","722a","b39","[449]"
"66","b10","b10","[0, 60, 149, 146, 120, 76, 178, 59, 29, 135, 119, 56, 90, 58, 30, 75, 48, 66, 43, 150, 24, 122, 269, 209, 68, 396, 62, 85, 61]"
"67","b10","b24","[191, 149, 119, 163, 179, 120, 208, 152]"
"68","b10","b39","[240, 248, 190, 208, 209, 179, 212, 210, 142]"
"69","b24","b24","[0, 60, 59, 149, 90, 30, 63, 22]"
"70","b24","b39","[49, 67, 60, 119, 59, 269, 120, 90]"
"71","b39","b39","[0, 511]"
"72","724","724","[0, 30, 89, 90, 53, 60, 121, 59, 86, 46, 66, 214, 360, 542]"
"73","724","722a","[59, 127, 67, 120, 30, 60]"
"74","323","323","[0, 30, 3385, 60, 67, 59, 89, 1, 149, 90, 180, 570, 65, 62, 374, 101, 2278, 63]"
"75","323","322","[60, 120, 59, 89, 30, 119, 90, 240, 150, 18, 73, 64, 22]"
"76","322","322","[0, 179, 86, 90, 119, 120, 59, 47, 60, 226, 444, 66, 68, 153]"
"77","321","321","[0, 60, 79, 59, 90, 144, 67, 210, 68, 30, 780, 180, 335, 137, 8]"
"78","321","b1","[270, 210, 180, 150, 209, 149, 329, 380, 458]"
"79","321","b26","[330, 270, 537, 209, 321, 14133]"
"80","321","b50","[3303, 3243, 394, 348, 269]"
"81","b1","b26","[60, 3016, 329, 156, 180, 268, 47]"
"82","b1","b50","[3033, 151]"
"83","b26","b26","[0, 347, 360, 210, 65, 61, 89, 60, 30, 442, 59, 29, 90, 125, 128, 83, 163]"
"84","b26","b50","[2973]"
"85","b50","b50","[0, 209, 1570, 60, 59, 29, 70]"
"86","314","314","[0, 60, 90, 59, 73, 83, 119, 47, 89, 148, 71, 30, 120, 180, 69, 77, 299, 149, 256, 179, 76, 8, 107, 61, 163, 592, 226]"
"87","314","318","[60, 89, 77, 59, 74, 82, 90, 61, 125, 58, 144, 128, 270, 62, 80, 68, 228, 120]"
"88","318","318","[0, 60, 448, 59, 30, 240, 89, 68, 150, 36, 120, 180, 333, 209]"
"89","b44","316","[90, 119]"
"90","316","316","[0, 59, 60, 64, 30, 90, 74, 657, 85, 196, 68]"
"91","314","b4","[270, 2082, 299, 178, 238, 479, 269, 328, 179, 180, 389, 300, 330, 721]"
"92","b5","b5","[0, 120, 48, 60, 59, 42, 119, 122, 149, 30, 90, 210, 179, 76, 52, 91, 89, 180, 80, 73, 69, 61, 62, 22, 85, 78, 67, 765]"
"93","b5","b15","[30, 120, 1103, 983, 60, 180, 188, 149, 29, 468, 79, 146, 2123, 2071, 147, 125, 121, 103]"
"94","b15","b15","[0, 1222, 60, 509, 1227, 1969, 1349, 209, 89, 30, 59, 1984, 53, 120, 118, 57, 31, 90, 239, 270, 54, 180, 32, 679, 26, 116, 1386, 119, 55, 140, 109, 38, 62, 97, 265, 151, 115, 51, 8]"
"95","b26","b4","[60, 59, 329, 281, 269, 57, 119, 55, 54, 68]"
"96","b29","p6","[30, 41, 53, 476, 535, 49, 60, 240, 300, 898, 90, 88, 16858, 347, 59, 103, 82, 77]"
"97","b29","b50","[3322, 60]"
"98","b29","b27","[3412, 120, 149, 90, 2342]"
"99","b29","b1","[3443, 60, 90, 329, 71, 81, 105]"
"100","p6","p6","[0, 913, 30, 5691, 1016, 1, 81, 60, 2961, 29, 2757, 119, 55, 59, 27, 315, 288, 348, 8297, 1561, 1531, 44, 225, 5870, 5950, 5645, 5725, 80, 15034, 77, 23544, 23485, 3305, 3547, 524, 68, 42, 101, 161, 69, 61, 70, 67, 39, 3296, 120, 28, 83, 18881, 48, 93, 72, 90, 1404, 23167, 65, 3104, 456, 824, 270, 150, 54, 190, 46, 16798, 208, 573, 3337, 1888, 5881, 415, 269, 14618, 636, 589, 32490, 149, 5308, 1775, 540, 156, 4132, 3170, 63, 450, 390, 109, 6260, 735, 1027, 112, 2463, 2076, 240, 195, 2642, 828, 248, 133, 180, 420, 111]"
"101","p6","b50","[3292, 119, 59, 5420, 14758, 148, 1587, 131, 144]"
"102","p6","b27","[3382, 156, 110, 126, 4925, 129, 120, 124, 160, 89, 328, 149, 90, 9314, 68, 2075, 76, 1745, 52]"
"103","p6","b1","[3413, 3582, 177, 150, 963, 122, 369, 90]"
"104","b50","b27","[90, 60]"
"105","b50","b1","[121, 149]"
"106","b27","b1","[31, 60, 260]"
"107","b16","b16","[0, 239, 448, 417, 120]"
"108","b16","b70","[48, 60, 59, 447, 209, 208, 53, 210, 368]"
"109","b16","311","[198, 232, 150, 449, 180]"
"110","b70","b70","[0, 144, 358, 74, 259, 90, 82, 119, 89, 60, 70, 131, 98]"
"111","b70","311","[150, 211, 119, 179, 120, 175]"
"112","311","311","[0, 60, 120, 139, 79, 61, 119, 30, 59, 54, 90, 73]"
"113","b71","b71","[0, 60, 66, 30, 89, 125, 4684]"
"114","b71","b16","[60, 328, 329, 59, 118, 120, 90, 138]"
"115","b3","b3","[0, 30]"
"116","b3","b26","[60, 1869, 59, 138, 168, 818]"
"117","b3","p5","[132, 149, 268, 4587, 150, 179]"
"118","b26","p5","[72, 59, 60, 269, 299, 89, 179, 121, 979, 120, 119, 1595, 180, 309, 4921, 93, 81, 239, 2099, 90, 5589, 1369, 442, 1178, 4049]"
"119","531","531","[0, 30, 390, 54, 60, 506, 178, 59, 303, 143, 89, 90, 329, 389, 174, 270, 209, 538, 360, 120, 585, 318, 27, 61, 144, 83, 68, 1434, 1374, 530]"
"120","531","537","[60, 59, 120, 90, 52, 41, 149, 1490, 53, 180, 61]"
"121","531","540","[120, 89, 149, 90, 97, 330, 180, 81, 60, 142, 117]"
"122","531","546","[210, 179, 188, 238, 298, 182, 239, 163, 150]"
"123","531","554","[330, 328, 474]"
"124","537","540","[60, 90, 150, 59, 191, 56, 62, 64, 120, 820]"
"125","537","546","[150, 120, 119, 122, 149, 179, 127, 210, 128, 300]"
"126","537","554","[270, 209, 269, 256, 242]"
"127","540","540","[0, 89, 60, 51, 90, 120, 209, 59, 419, 269, 150, 68]"
"128","540","546","[90, 89, 240]"
