"index","start_point","end_point","time"
"3415","b27","323","[1699]"
"3416","b28","323","[328]"
"3417","b44","b33","[60, 90, 448, 30]"
"3418","b44","313","[380, 298]"
"3419","b33","b75","[119, 149, 210]"
"3420","b75","b18","[350, 448, 137, 120, 85, 90, 465, 270]"
"3421","b65","b77","[59, 268, 90, 150, 75, 60, 4376]"
"3422","b67","b25","[60, 517, 59]"
"3423","b25","b69","[328, 77, 89, 91, 60, 180, 68, 73, 210]"
"3424","b25","p5","[1018, 60, 119, 149, 151, 180]"
"3425","b71","b29","[89, 387, 119, 448, 150, 172]"
"3426","b21","b77","[119, 120]"
"3427","b16","b19","[30, 31]"
"3428","b73","b15","[1552, 3193, 328, 119, 89, 120, 90, 180]"
"3429","b4","b11","[90, 180]"
"3430","b7","b11","[60]"
"3431","b52","b47","[30, 90, 60, 180]"
"3432","b52","b71","[359, 209]"
"3433","b67","b31","[388]"
"3434","b77","b31","[119, 149, 179, 120]"
"3435","b68","b58","[120, 179, 1984]"
"3436","b75","b45","[962]"
"3437","b40","b31","[60, 59, 31, 68, 447, 51]"
"3438","b4","b16","[60, 527]"
"3439","b68","b28","[59, 60, 82, 180, 388, 51, 223]"
"3440","b68","b44","[119, 149, 120, 178, 150, 448]"
"3441","b68","b32","[179, 30574]"
"3442","b28","b32","[120, 10420, 5158, 6125]"
"3443","b44","b32","[60, 1144]"
"3444","b73","b2","[119, 4165, 120, 150, 179, 358, 270, 149, 127]"
"3445","b16","b60","[745, 389]"
"3446","b65","b60","[119]"
"3447","p1","b8","[254, 180, 119, 172, 134, 194]"
"3448","p1","b2","[284, 182, 323, 253, 208, 297]"
"3449","b57","321","[209, 328]"
"3450","b57","b5","[388, 270, 150, 90, 119]"
"3451","b17","321","[150, 209, 3732, 524, 180]"
"3452","b17","322","[209, 179, 150, 149, 1377, 462]"
"3453","321","322","[59, 57, 30, 60, 38, 90, 1247, 1307, 170, 70, 145, 8]"
"3454","321","b5","[179, 298, 119, 201, 209, 120, 130, 151, 210, 150]"
"3455","321","b69","[1477, 449]"
"3456","322","b5","[120, 178, 179, 209, 258, 10678]"
"3457","322","b69","[1418, 897]"
"3458","b5","b69","[1298, 261, 299, 106]"
"3459","b47","b16","[60, 59, 90]"
"3460","b47","b68","[538, 119, 120, 240, 269]"
"3461","b47","p5","[746, 90, 89, 330, 120]"
"3462","b16","b28","[537]"
"3463","b68","b8","[119, 268, 213, 267, 191, 251]"
"3464","b69","b25","[1861, 60, 180]"
"3465","b69","538","[2466, 927]"
"3466","b18","538","[2406, 359, 657, 566, 658, 611, 388, 508, 477, 629, 479, 539, 540, 592, 570, 534]"
"3467","b25","b59","[60, 584, 139, 122, 90, 59, 146, 534, 120, 55]"
"3468","b25","538","[605, 692, 591, 1230]"
"3469","b59","538","[545, 659, 249]"
"3470","539","b40","[537, 1073, 447, 508, 538, 618, 549, 509, 569, 449, 718, 497, 450, 540, 572, 534, 480]"
"3471","539","b29","[597, 529, 596, 537, 625, 1210, 539, 509, 569, 508, 632, 594]"
"3472","531","b29","[448, 506, 507, 597, 463, 687, 509, 1139, 479, 539, 453, 985, 805]"
"3473","324","b11","[120, 270]"
"3474","b11","b12","[89, 60, 75]"
"3475","b21","b67","[60]"
"3476","b34","b47","[75, 60, 2232, 89, 76]"
"3477","b34","b16","[135]"
"3478","b67","b68","[479, 409, 149, 60, 125, 120, 59, 209, 93, 22]"
"3479","b67","b44","[628, 558, 268, 120, 270, 142]"
"3480","b35","b16","[60, 62]"
"3481","b19","b71","[63, 59, 828, 149, 89, 209, 355, 90, 60, 134, 150]"
"3482","509","707","[329, 270, 330]"
"3483","502","710","[59, 60, 120, 39, 415]"
"3484","502","707","[149]"
"3485","710","707","[90, 149]"
"3486","707","707","[0, 61]"
"3487","705","705","[0, 92]"
"3488","705","712","[60]"
"3489","705","501","[119, 179, 139]"
"3490","712","501","[59, 119, 120, 60, 136, 61]"
"3491","510","b16","[810]"
"3492","510","b64","[1382, 2020]"
"3493","510","b73","[1973, 771]"
"3494","b6","b13","[60, 59, 68]"
"3495","b25","b70","[89, 166, 90, 150, 179]"
"3496","b70","b1","[269, 327, 179, 139, 127, 90, 348]"
"3497","722b","b56","[179]"
"3498","722b","b1","[2043]"
"3499","722b","b10","[2103, 299]"
"3500","b56","b10","[1924, 509, 1461, 197]"
"3501","322","b66","[538]"
"3502","322","b18","[567, 6098, 328, 329, 478, 239, 304, 180]"
"3503","322","b23","[6068]"
"3504","323","b15","[119, 185, 179, 329, 208, 210, 355]"
"3505","323","b66","[209, 270]"
"3506","b15","b66","[90, 2027, 678, 67, 268, 144, 60]"
"3507","b15","b23","[5620, 120, 90, 60, 979]"
"3508","b66","b18","[29, 5560, 172, 59, 60, 330, 3687]"
"3509","b66","b23","[5530]"
"3510","b4","322","[187, 149, 209, 112, 178]"
"3511","b7","b71","[119, 269, 179, 268, 19061]"
"3512","b7","313","[179, 208, 268, 209]"
"3513","b7","b33","[448, 120, 140, 239, 119, 177, 150, 126, 210]"
"3514","b71","b33","[329, 1870, 120]"
"3515","313","b33","[269]"
"3516","b75","b33","[120, 144]"
"3517","b44","b27","[239, 150]"
"3518","b24","b27","[179, 120, 2237, 2695]"
"3519","509","b78","[1046, 1112, 1052]"
"3520","b18","b78","[359, 119, 321, 2171]"
"3521","316","b36","[150]"
"3522","316","510","[747, 729, 655]"
"3523","316","509","[777, 448]"
"3524","b36","b28","[149, 112, 99, 120, 181]"
"3525","b36","b45","[209]"
"3526","b28","510","[448, 594, 633, 446, 568, 509, 517, 374, 532]"
"3527","b28","509","[478, 597, 565, 537, 447, 658, 396, 6603, 603, 516, 568, 489, 560, 540, 598, 472, 420]"
"3528","511","512","[59, 60, 119, 136, 149, 65, 209, 120, 334, 52, 82, 1362, 22, 129]"
"3529","511","b18","[567, 538, 566, 507, 572, 450, 449, 551, 286]"
"3530","316","b68","[268, 181, 210, 209]"
"3531","316","b64","[328, 418]"
"3532","316","b24","[537]"
"3533","316","b43","[597, 120, 119, 300, 99, 209, 126, 390, 796]"
"3534","316","538","[1045]"
"3535","316","535","[1655]"
"3536","316","b40","[2044, 120, 90]"
"3537","314","b68","[179, 210, 150, 835, 205, 2716]"
"3538","314","b64","[239, 180, 166, 283]"
"3539","314","b24","[448, 209]"
"3540","314","b43","[508, 209, 1377]"
"3541","314","538","[956, 926]"
"3542","314","535","[1566, 630, 570, 944]"
"3543","314","b40","[1955, 120, 210, 150, 188]"
"3544","b68","b24","[269, 60]"
"3545","b68","b43","[329, 119, 120, 270]"
"3546","b68","538","[777, 715, 536, 787, 658]"
"3547","b68","535","[1387, 757]"
"3548","b68","b4","[1903, 90, 119, 696, 89, 197]"
"3549","b64","b24","[209]"
"3550","b64","b43","[269, 330]"
"3551","b64","538","[717, 656]"
"3552","b64","535","[1327]"
"3553","b64","b40","[1716]"
"3554","b64","b4","[1843, 119, 60, 330, 68]"
"3555","b24","538","[508, 488, 572, 479, 539, 598, 538, 780]"
"3556","b24","535","[1118, 539, 418, 639]"
"3557","b24","b4","[1634, 60, 110, 59, 269]"
"3558","b43","b40","[1447, 62, 3580, 986, 446]"
"3559","538","535","[610, 32, 509, 57, 180]"
"3560","538","b4","[1126, 657, 568, 838]"
"3561","535","b4","[516]"
"3562","547","541","[149, 120, 119, 89, 90, 61]"
"3563","547","534","[209, 179, 149]"
"3564","547","b41","[613, 658, 718, 597]"
"3565","547","b71","[746]"
"3566","547","513","[1522]"
"3567","545","b41","[524, 685, 655, 718, 658, 598, 539, 540]"
"3568","545","b71","[657, 744]"
"3569","545","513","[1433, 390, 521, 393]"
"3570","541","b41","[464, 718, 552, 506]"
"3571","541","b71","[597, 655]"
"3572","541","513","[1373]"
"3573","534","b41","[404, 447, 476, 538, 868, 468, 448]"
"3574","534","b71","[537, 710, 720]"
"3575","534","513","[1313, 328, 318]"
"3576","b41","b71","[133]"
"3577","b41","513","[909, 409, 359]"
"3578","b18","b71","[60, 418, 126, 119, 5823, 65, 59, 89, 52, 332]"
"3579","b71","513","[776]"
"3580","509","513","[60, 59, 209, 119, 90, 103, 30, 450, 180]"
"3581","509","b36","[448, 240, 352, 613, 1854, 419, 330, 300, 510]"
"3582","509","b1","[567, 448, 657, 539, 568, 658, 538, 449, 718, 659]"
"3583","513","b36","[388, 589]"
"3584","513","b1","[507, 596, 568]"
"3585","b36","b1","[119]"
"3586","b20","b74","[119, 160, 209, 180]"
"3587","720B","515","[180, 210]"
"3588","720B","b39","[568]"
"3589","720B","b65","[717]"
"3590","720B","p5","[836]"
"3591","508","b39","[448, 1015, 627, 417, 478, 539, 587]"
"3592","508","b65","[597]"
"3593","508","p5","[716, 656, 596, 537, 629, 688, 539, 1532]"
"3594","508","b77","[865, 627, 2778]"
"3595","515","b65","[537]"
"3596","515","p5","[656, 599, 422]"
"3597","515","b77","[805, 2152, 2086]"
"3598","b39","b65","[149, 89, 119, 278, 539, 90, 98]"
"3599","b39","p5","[268, 328, 358, 476, 449]"
"3600","b39","b77","[417, 179, 180, 149, 218, 150, 480, 142, 1303]"
"3601","b65","p5","[119, 23521, 23581, 525, 90, 179, 359, 120, 239, 150]"
"3602","p5","b77","[149, 601, 179, 288, 239, 236, 233, 263, 209, 2149, 1339, 13677, 326, 224, 306, 150]"
"3603","504","513","[209, 89, 149, 90]"
"3604","504","b35","[595, 578]"
"3605","504","b70","[716]"
"3606","501","513","[90, 507, 179, 149, 119, 120, 388, 141, 121, 389, 128]"
"3607","501","b35","[476, 718, 415]"
"3608","501","b70","[597]"
"3609","513","b70","[507, 684]"
"3610","b16","b20","[418, 90, 565, 3163, 328, 240]"
"3611","b5","b64","[149, 238, 89, 196]"
"3612","b17","b64","[89, 59, 132, 2300, 1009]"
"3613","b13","b5","[121, 119, 60, 59]"
"3614","b13","b17","[179, 120, 150, 391, 331]"
"3615","b13","b71","[268]"
"3616","b13","b70","[597, 179]"
"3617","b13","b22","[658]"
"3618","b13","p5","[716, 191]"
"3619","b13","b34","[776]"
"3620","b5","b71","[147, 269, 2551, 270]"
"3621","b5","b34","[655, 209, 519, 803]"
"3622","b17","b34","[597]"
"3623","b71","b22","[390]"
"3624","b71","b34","[508]"
"3625","b70","p5","[119, 178, 150, 371, 209, 269, 179, 448, 270, 120, 2159, 106]"
"3626","b70","b34","[179, 120, 209]"
"3627","b22","p5","[58, 120, 180, 89]"
"3628","b22","b34","[118]"
"3629","b34","b64","[119, 149, 142, 148]"
"3630","b34","313","[238]"
"3631","b34","b68","[447, 270]"
"3632","b34","b18","[1289, 4777, 124, 52]"
"3633","b34","b39","[1348, 30]"
"3634","b34","511","[1762, 420]"
"3635","b64","b68","[328, 813, 89, 60, 90, 120, 180]"
"3636","b64","b39","[1229]"
"3637","b64","511","[1643, 839, 388]"
"3638","313","b39","[1110, 209]"
"3639","313","511","[1524, 1375]"
"3640","b68","b39","[901, 268, 110, 786]"
"3641","b68","511","[1315]"
"3642","b18","511","[473, 830, 676, 933, 599, 518, 530, 450]"
"3643","b39","511","[414, 239, 508, 659, 449, 240, 446]"
"3644","b33","b70","[392, 209, 90, 1227]"
"3645","b33","b67","[447]"
"3646","b68","b67","[358, 337, 117, 60, 120]"
"3647","b73","b70","[273, 60, 71, 309]"
"3648","b70","b67","[55, 389, 90, 120]"
"3649","507","719","[115]"
"3650","505","511","[64, 60, 59, 119, 388, 65, 210]"
"3651","313","b28","[6985, 448, 265, 1105]"
"3652","b37","317","[517, 90]"
"3653","b16","b17","[32, 4027, 60, 30, 267, 298, 269, 57]"
"3654","b8","b16","[209, 197, 120, 90]"
"3655","b7","b64","[90, 149, 89]"
"3656","b7","b16","[150, 119, 149, 120]"
"3657","b64","b2","[120, 89, 97, 270, 59, 60, 67, 68]"
"3658","313","b3","[164, 328, 269, 235]"
"3659","b13","b9","[6152, 30]"
"3660","b5","b7","[5973, 89, 119, 149, 120, 1553, 90, 549, 73, 117, 59, 150, 61, 85, 180, 86]"
"3661","b7","b9","[60, 90]"
"3662","b41","b73","[150, 149, 209]"
"3663","b41","313","[209]"
"3664","b41","b75","[389, 179]"
"3665","b75","b7","[134, 179, 715, 150]"
"3666","b57","b64","[88, 120]"
"3667","b57","511","[927]"
"3668","b57","507","[987, 477]"
"3669","b57","501","[1047, 718]"
"3670","b64","507","[899]"
"3671","b64","501","[959]"
"3672","b69","511","[448, 626]"
"3673","b69","507","[508]"
"3674","b69","501","[568, 817, 877]"
"3675","511","507","[60]"
"3676","511","501","[120, 90, 149, 119, 209, 210, 122, 180, 270]"
"3677","b37","b2","[774, 335, 116, 119, 328, 120, 124, 329, 269, 127]"
"3678","b55","b15","[60, 120, 76, 90, 65]"
"3679","329","b21","[197]"
"3680","329","b28","[4562, 239, 719, 1498, 212]"
"3681","b21","b28","[4365, 60, 90]"
"3682","b75","324","[183]"
"3683","326","b54","[64, 119, 120, 1166, 1046]"
"3684","326","b52","[5148]"
"3685","b54","b23","[55, 59, 60]"
"3686","b54","b52","[5084, 95]"
"3687","b23","b52","[5029, 90]"
"3688","b6","b35","[179, 120, 119, 239, 209, 210]"
"3689","b6","b44","[209, 1105, 150, 137, 180, 179, 149]"
"3690","b3","b24","[59]"
"3691","b3","b35","[119, 89, 352, 135, 342]"
"3692","b3","b44","[149, 119, 120, 126]"
"3693","b24","b35","[60, 67, 120, 90]"
"3694","b24","b44","[90, 985, 149, 60, 120, 68, 67, 73, 72]"
"3695","535","542","[60, 150, 149, 270, 59, 63, 120, 421, 612]"
"3696","545","533","[239, 149, 179, 180, 150, 119, 129, 120]"
"3697","545","p2","[2456, 868, 2072, 889, 895, 7953]"
"3698","540","533","[60, 59, 446, 120, 90, 86, 209, 150, 448, 239, 420]"
"3699","540","b33","[450, 599, 508, 539, 718, 629, 448, 518]"
"3700","540","b2","[599, 685, 411, 609]"
"3701","540","b15","[1376, 598, 838, 656, 689, 715]"
"3702","540","p2","[2277]"
"3703","533","b33","[390, 524, 661, 509, 420, 478, 441]"
"3704","533","b2","[539, 626, 655, 566, 715, 598]"
"3705","533","b15","[1316, 566, 775, 586, 538, 748]"
"3706","533","p2","[2217, 240, 225]"
"3707","b15","p2","[901, 89, 269, 329, 248, 6405, 6464, 6196, 6255, 178, 209, 149, 176, 119, 60, 90, 140, 14658, 179, 120, 210, 270, 325, 145, 175, 7022, 94, 143, 197]"
"3708","b17","b36","[2758, 6673, 11360, 5591]"
"3709","321","b6","[125, 149, 268, 120, 209, 119, 150, 399]"
"3710","321","b67","[268, 357]"
"3711","b11","b67","[208, 254]"
"3712","b6","b67","[143]"
"3713","b18","b1","[67, 30, 60, 55, 969, 59, 269, 178, 268, 3641, 744, 210, 45, 270, 86, 369, 239, 52, 1767, 240]"
"3714","b28","b53","[32400, 406, 120, 180]"
"3715","b28","328","[32490]"
"3716","b28","329","[32609, 329, 412, 292, 210]"
"3717","b53","329","[209, 329, 268]"
"3718","328","329","[119, 89, 120, 209, 150, 18326, 90, 82, 784, 128]"
"3719","329","b44","[180, 193, 133]"
"3720","329","b30","[240, 239]"
"3721","329","b15","[419, 388, 269, 599, 272, 292]"
"3722","b6","b2","[60, 120, 59, 119, 150, 788, 149, 89, 42, 105, 88, 90]"
"3723","b6","b33","[150, 119, 269, 209, 120, 136, 149, 121, 210]"
"3724","b2","b24","[60, 90, 505, 577, 371, 62, 238, 76, 59, 150, 259, 68]"
"3725","b2","512","[596, 796, 598, 630, 599]"
"3726","b24","b33","[30, 93, 68, 89, 538]"
"3727","b24","512","[536, 476, 419, 479, 449, 532]"
"3728","b24","b28","[1044, 209, 60, 119, 329, 120]"
"3729","b33","512","[506, 401, 447, 446, 804, 269, 389, 390, 330]"
"3730","b33","b44","[955, 56, 60, 44]"
"3731","512","b44","[449, 418, 270, 479, 329, 928, 238]"
"3732","512","b28","[508, 648, 477]"
"3733","322","b35","[1958]"
"3734","322","511","[2346, 835]"
"3735","322","501","[2436]"
"3736","b5","b35","[1838, 300, 210, 209, 268, 120, 295, 149, 144, 1344, 240, 207]"
"3737","b5","511","[2226, 743, 1044, 588, 627, 660]"
"3738","b5","501","[2316]"
"3739","b17","511","[2137, 536, 679, 715, 569, 591, 1165, 445, 1979]"
"3740","b17","501","[2227, 799, 597, 599, 703, 718, 596, 839, 509, 672, 630, 2249]"
"3741","b35","511","[388, 432, 480]"
"3742","b35","501","[478, 327, 390]"
"3743","p5","b62","[60, 119, 1650]"
"3744","b6","b25","[60, 59, 149, 180, 3404, 210]"
"3745","b35","b43","[1531, 30]"
"3746","b35","b29","[1650, 30, 72]"
"3747","b43","b29","[119, 886, 60, 59, 389, 42, 410, 475, 51, 471]"
"3748","514","b43","[388, 268, 261, 477, 659, 618, 437, 2588]"
"3749","514","b23","[597, 924]"
"3750","514","b19","[657, 566, 572]"
"3751","514","b75","[1097, 782]"
"3752","514","b71","[1485, 716]"
"3753","b43","b23","[209, 1024]"
"3754","b43","b75","[709, 263, 269, 201, 180, 164]"
"3755","b43","b71","[1097, 179, 269, 141]"
"3756","b46","b16","[60]"
"3757","b46","b66","[595, 90, 75]"
"3758","b46","b20","[625, 60, 59, 2371]"
"3759","b46","328","[804, 150, 120, 218]"
"3760","b16","b66","[535, 648, 29]"
"3761","b73","b66","[475, 269, 69, 328, 60, 89]"
"3762","b73","b55","[595]"
"3763","b73","328","[684, 568, 283, 180]"
"3764","b66","b55","[120]"
"3765","b66","328","[209, 184]"
"3766","b20","328","[179, 209, 390, 120]"
"3767","b55","328","[89, 90, 119, 3531, 142]"
"3768","b54","b48","[26, 120, 30, 46388, 43, 22, 149, 52, 579]"
"3769","b54","b16","[85, 188]"
"3770","b48","b16","[59, 179, 90, 149, 72, 68]"
"3771","311","b16","[269, 209, 1563, 179, 312, 213]"
"3772","323","b25","[240, 270, 212]"
"3773","b15","b25","[55, 864, 30, 60, 132, 6549, 73, 14778, 62, 12839, 150, 131, 124]"
"3774","b66","b53","[776]"
"3775","b64","b27","[65, 60, 179]"
"3776","b64","b53","[119, 240]"
"3777","b27","b53","[54, 120, 149]"
"3778","b66","b59","[120]"
"3779","b53","b33","[2002]"
"3780","b71","b68","[257, 60, 507, 89, 90, 180, 120, 108, 19, 150]"
"3781","b68","b19","[60, 1554, 298, 327, 269, 180, 129, 458]"
"3782","b68","b33","[1613, 193, 89]"
"3783","b1","b46","[209, 91]"
"3784","b68","b35","[90, 14155, 89, 149, 119]"
"3785","b18","536","[508, 826, 504, 533, 913, 659, 828, 814, 595, 502]"
"3786","b39","539","[508, 597, 507, 387, 836, 448]"
"3787","543","532","[149, 90, 108, 209, 119, 269, 89, 150, 180, 120]"
"3788","b40","b23","[89, 90]"
"3789","b8","b9","[60, 64, 120]"
"3790","p1","b65","[972, 217]"
"3791","b7","b65","[787, 104, 329, 120]"
"3792","b21","b68","[60]"
"3793","b65","b35","[59, 388]"
"3794","545","554","[60, 119, 76, 122]"
"3795","539","514","[306, 1608, 1489]"
"3796","539","504","[366, 2725, 1053]"
"3797","539","710","[784, 2784]"
"3798","531","514","[247, 1399, 1525, 270, 415]"
"3799","531","504","[307]"
"3800","531","710","[725]"
"3801","514","504","[60, 90, 239, 149, 346]"
"3802","514","710","[478, 281, 179, 200, 115, 150, 210]"
"3803","504","710","[418, 59, 166, 60]"
"3804","b65","b12","[127, 209, 213, 179]"
"3805","b12","b5","[2819, 90, 59, 89, 60, 48, 150, 76, 87, 30, 54, 120, 151]"
"3806","b12","b11","[2879, 90]"
"3807","b65","b5","[2670, 328, 150, 119, 238]"
"3808","b65","b11","[2730]"
"3809","b65","322","[2789]"
"3810","b19","b11","[2670]"
"3811","b19","322","[2729, 389, 269, 140]"
"3812","b17","b11","[120, 209]"
"3813","b5","b11","[60, 269, 90, 145]"
"3814","b11","322","[59]"
"3815","b46","b65","[60, 89, 861]"
"3816","b18","b55","[60, 90, 109]"
"3817","b65","b62","[119, 179, 656, 120]"
"3818","b65","b57","[3824]"
"3819","b62","b55","[299]"
"3820","b62","b57","[3705, 30]"
"3821","b55","b57","[3406, 60, 59, 239, 90]"
"3822","540","538","[60, 164, 179, 89, 149, 120, 299, 66, 119, 90, 30]"
"3823","540","b41","[508, 808, 599, 538, 479, 450]"
"3824","538","b41","[448, 803, 447, 479]"
"3825","722b","328","[119, 73, 209, 75, 60]"
"3826","722b","b59","[179]"
"3827","b13","b19","[108, 179, 180, 210]"
"3828","312","b75","[149, 180, 120, 179, 90, 220]"
"3829","312","b64","[209, 206]"
"3830","312","b25","[537]"
"3831","b75","b19","[269, 1283, 437, 87, 90, 179]"
"3832","b64","b19","[209, 1223, 29, 37, 269, 30, 300, 60]"
"3833","b19","b25","[119, 898, 327, 60, 2809]"
"3834","b25","b19","[895, 60, 30, 700, 110, 59]"
"3835","312","b24","[269, 209]"
"3836","312","b27","[389, 2506, 329]"
"3837","312","b66","[2446, 209, 259, 120]"
"3838","b78","b75","[30, 63, 74]"
"3839","b78","b24","[119, 142]"
"3840","b78","b27","[239, 2356]"
"3841","b78","b15","[269, 1618]"
"3842","b78","b66","[2296, 73]"
"3843","b75","b24","[89, 148, 150]"
"3844","b24","b16","[1529]"
"3845","b24","b66","[2177, 88, 60, 209, 22652]"
"3846","b27","b16","[1409, 984, 60, 30]"
"3847","b16","b27","[708, 30, 327]"
"3848","b16","b15","[3133, 665, 297, 60]"
"3849","b15","b75","[119, 805, 120, 184, 209, 269, 122, 240]"
"3850","b49","b77","[149, 240]"
"3851","b66","b24","[60]"
"3852","b66","b48","[149, 4708, 120, 19897]"
"3853","b66","515","[627]"
"3854","b24","515","[567, 808, 388]"
"3855","b48","515","[478, 449]"
"3856","505","509","[180, 90, 119, 60, 53, 59, 70, 270, 132, 72, 68, 390]"
"3857","505","b43","[628, 599, 568]"
"3858","505","b24","[687, 536]"
"3859","505","b18","[717, 896, 1484, 597, 685, 448, 652]"
"3860","505","b29","[1514, 957, 419, 477]"
"3861","505","327","[1663, 598]"
"3862","509","b43","[448, 506, 477, 329, 658, 598, 330, 508, 389, 539, 536, 479, 586, 505]"
"3863","509","b24","[507, 566, 389]"
"3864","509","b29","[1334, 568, 388, 507, 566, 599, 569, 485, 925]"
"3865","509","327","[1483, 605, 521, 538, 570]"
"3866","b43","327","[1035, 329]"
"3867","b24","327","[976]"
"3868","b18","327","[946, 767, 179, 329]"
"3869","b29","327","[149]"
"3870","b26","p2","[120, 209, 1413, 90, 268]"
"3871","324","b31","[328, 329, 4359, 3215]"
"3872","521R","521R","[0, 59, 60, 90, 82, 211]"
"3873","521R","b45","[362, 303]"
"3874","521R","b70","[515, 456]"
"3875","b45","b70","[153, 179, 480]"
"3876","b49","b21","[30, 141, 90]"
"3877","b49","b75","[375]"
"3878","b49","b29","[495]"
"3879","b21","b29","[465, 123]"
"3880","b75","b29","[120, 119, 112]"
"3881","b28","b66","[1853, 60, 807, 59, 1305]"
"3882","b28","b75","[1906, 209, 119, 90]"
"3883","b65","b2","[90, 106, 359, 299, 119, 240]"
"3884","b12","b69","[1211, 1774, 153, 209, 350, 179, 360, 284, 147, 128]"
"3885","b4","b15","[1050, 209, 268, 527, 348, 210, 60, 30, 22]"
"3886","b4","b69","[1151, 298, 89, 86, 179]"
"3887","b31","b65","[67, 89, 26953, 60, 52]"
"3888","b31","b67","[119, 80, 89, 90]"
"3889","b65","b67","[52, 59, 90, 60, 209, 385, 8]"
"3890","b26","b48","[127, 60, 1294, 151, 90, 1089]"
"3891","b26","b36","[179, 212, 59]"
"3892","b26","531","[567, 509, 899, 449, 447, 507, 446, 601, 655, 466, 387, 328, 569, 393, 563, 598, 669, 498, 412]"
"3893","b48","531","[440, 507, 447, 509, 598, 467, 449, 478]"
"3894","b36","531","[388, 403, 457, 407, 420, 359]"
"3895","534","544","[262, 90, 120, 149, 80, 329, 449, 187, 89, 328, 119, 240, 463]"
"3896","534","538","[321, 30, 119, 58, 60, 89, 149, 128, 210, 40, 209, 90, 98, 473]"
"3897","326","b51","[119]"
"3898","326","b17","[179, 268, 253]"
"3899","b51","b17","[60, 510, 150, 89]"
"3900","b30","532","[418, 778, 449]"
"3901","b30","537","[448, 538, 477, 778, 808, 547, 599, 1647, 404, 773]"
"3902","544","535","[89, 86, 119, 299, 120, 175, 60, 151, 91]"
"3903","544","b44","[597, 569]"
"3904","b25","b12","[209, 118, 179, 299, 77, 86, 211, 89]"
"3905","314","b29","[150, 269, 179, 208, 448, 281, 948, 799, 240]"
"3906","314","b39","[180, 269, 150, 420]"
"3907","314","723","[329]"
"3908","b29","b39","[30, 448, 506, 59, 49, 390, 38, 3569]"
"3909","b29","723","[179, 389, 329]"
"3910","b39","723","[149]"
"3911","723","b41","[179]"
"3912","723","b27","[388, 328]"
"3913","507","508","[59, 120, 141, 179, 60, 265]"
"3914","507","b39","[507, 628]"
"3915","507","b20","[567, 598, 585]"
"3916","507","b66","[627]"
"3917","507","b77","[686]"
"3918","508","b20","[508, 805, 895]"
"3919","508","b66","[568]"
"3920","516","b39","[388, 485, 209, 566, 775, 596, 476, 447, 387, 180, 449, 598, 419, 480, 440, 378]"
"3921","516","b20","[448, 776, 537]"
"3922","516","b66","[508, 569, 903]"
"3923","516","b77","[567, 750, 506]"
"3924","b39","b66","[120, 150, 119, 90, 239]"
"3925","531","544","[120, 180, 269, 150, 119, 149, 121, 209, 128, 141, 365, 129, 181, 90, 198, 110]"
"3926","531","545","[179, 269, 178, 208, 158, 149, 299, 180, 150, 218, 210, 390, 241]"
"3927","544","545","[59, 60, 210, 90, 74, 120, 62, 76, 53]"
"3928","547","b1","[695]"
"3929","539","b1","[546, 597, 686, 929, 778, 838, 658, 599, 659, 694, 650, 950]"
"3930","534","b1","[486, 774, 713, 805, 869, 658, 598, 807, 659, 591]"
"3931","b29","b36","[59, 2123, 336]"
"3932","b36","b48","[60, 522, 48]"
"3933","b36","p5","[120, 30, 60, 1019, 89, 59, 90, 25085, 912, 43, 44]"
"3934","b38","b77","[149, 179, 270, 150]"
"3935","b38","b75","[567]"
"3936","b38","b28","[657, 60, 120, 167]"
"3937","b38","b33","[687, 89]"
"3938","b38","516","[1058, 734, 385]"
"3939","b38","512","[1088, 447, 387, 506, 400, 450]"
"3940","b64","b28","[568, 328, 299, 60, 283]"
"3941","b64","b33","[598]"
"3942","b64","516","[969, 571]"
"3943","b64","512","[999]"
"3944","b77","b28","[508, 120, 150, 119, 89, 90, 111]"
"3945","b77","b33","[538, 208, 135]"
"3946","b77","516","[909]"
"3947","b77","512","[939, 538]"
"3948","b75","b28","[90, 119, 89]"
"3949","b75","516","[491]"
"3950","b75","512","[521]"
"3951","b28","516","[401, 383, 468, 748, 479, 450]"
"3952","b28","512","[431, 448, 534]"
"3953","b33","516","[371, 417, 472, 388, 385, 570, 355]"
"3954","505","b39","[537, 568, 447, 600]"
"3955","505","b17","[717, 538, 536, 669, 655]"
"3956","505","b57","[776, 720]"
"3957","509","b39","[447, 575, 577, 569, 599, 479, 510, 745, 390]"
"3958","509","b57","[686, 598]"
"3959","516","b57","[627]"
"3960","b39","b57","[239]"
"3961","b18","b57","[179, 359, 21080, 98]"
"3962","b73","316","[448]"
"3963","313","316","[388]"
"3964","314","b19","[120, 134, 268, 209, 238, 178, 149, 179, 180, 150, 418, 269, 242, 477, 388, 240]"
"3965","314","b2","[179, 185, 298, 251, 180, 270, 329, 415, 269, 209, 239, 240, 210, 394, 892, 300]"
"3966","p4","b19","[60, 179, 406, 3266, 90, 62]"
"3967","p4","b2","[119, 89, 102, 179, 120, 138]"
"3968","b16","b26","[695]"
"3969","b16","514","[1172, 479]"
"3970","b15","514","[507, 536, 872, 775, 510, 635, 601]"
"3971","b26","514","[477, 298, 505, 399, 489, 389, 509, 458, 270, 478, 652, 398]"
"3972","511","b34","[418, 569, 540]"
"3973","511","b47","[478]"
"3974","b34","b25","[90, 150]"
